Region,"Heart Disease Death Rate per 100,000"
California,139.7
Great Lakes,178.95506621820945
Midsouth,170.1685478486633
Northeast,162.98655371721918
Plains,155.7897019789399
South Central,184.05006271379844
Southeast,167.59869396918765
Total U.S.,163.6
West,141.56566669286985
