Region,HighCholesterol
California,0.486
Great Lakes,0.5161059693046615
Midsouth,0.5396456575025874
Northeast,0.4988945336656234
Plains,0.4969553418551814
South Central,0.55990792307626025
Southeast,0.51246107227128
Total U.S.,0.512
West,0.49365670849584503
