Region,Life Expectancy in Yrs
California,81.3
Great Lakes,78.237482181413
Midsouth,77.94667440889668
Northeast,80.25687735615291
Plains,79.25494198255596
South Central,77.97927526345137
Southeast,78.33874547217475
Total U.S.,78.7
West,79.7427324219489
